food_id,food_name,arabic_name,category,cuisine,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,cholesterol_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,zinc_mg,phosphorus_mg,water_g,is_vegan,is_vegetarian,is_halal,glycemic_index,meal_type,country
1,Kiwi (Restaurant Style),,Fruit,International,75,48.6,0.7,12.4,0.3,4.5,11.2,697,156,86,1.4,148,0,683,105.3,2.0,7.25,6.21,631,48.3,true,true,true,77,Breakfast,USA
2,Orange (With Sauce),,Fruit,International,300,160.7,3.3,38.5,1.3,6.9,5.3,75,674,180,5.3,128,0,423,123.2,7.7,4.52,7.69,32,49.9,true,true,true,75,Snack,Mexico
3,Quinoa (Low Fat),,Grains,International,120,216.7,8.0,43.8,2.6,1.0,9.7,536,398,176,3.4,105,0,150,108.5,4.7,6.23,0.23,620,26.6,true,true,true,21,Dinner,Japan
4,Cauliflower (Low Fat),,Vegetable,International,200,70.0,4.4,12.2,0.6,5.9,15.3,477,1164,252,9.8,44,0,1098,66.7,9.0,0.35,1.16,217,21.6,true,true,true,54,Snack,Mexico
5,Cashews (Roasted),,Nuts,International,50,264.8,8.7,8.6,21.9,5.2,0.2,1097,823,42,5.5,167,206,59,147.8,3.2,3.78,6.03,362,51.1,true,true,true,73,Breakfast,USA
6,Hazelnuts (Spicy),,Nuts,International,80,461.6,14.7,12.6,44.5,0.7,10.4,1100,677,79,9.1,202,149,797,55.3,6.4,2.7,1.04,190,80.2,true,true,true,27,Lunch,Turkey
7,Cottage Cheese (With Sauce),,Dairy,International,50,57.3,4.4,3.2,3.4,8.0,6.1,57,374,272,3.3,137,263,1139,20.6,6.0,4.36,3.02,603,45.5,false,true,true,51,Lunch,France
8,Lamb (With Rice),,Protein,International,150,271.8,36.0,1.7,15.0,9.1,17.8,35,447,142,5.7,26,307,649,12.6,6.7,1.07,7.14,567,30.2,false,false,true,70,Breakfast,Turkey
9,Tilapia (With Vegetables),,Protein,International,250,582.8,57.1,2.8,27.6,11.1,12.2,12,1062,180,7.0,36,353,107,54.1,5.5,7.66,6.86,343,46.9,false,false,true,63,Lunch,Mexico
10,Mahshi Kromb (Boiled),,Egyptian,Egyptian,150,377.2,13.0,32.2,13.5,10.0,3.5,1144,820,193,0.8,80,62,543,75.4,7.3,0.44,3.11,620,49.1,false,false,true,79,Dinner,Egypt
11,Beans (Restaurant Style),,Vegetable,International,100,38.6,2.0,6.7,0.3,5.5,11.5,563,740,493,0.6,36,0,40,64.2,6.0,1.06,4.33,501,94.9,true,true,true,67,Lunch,Italy
12,White Rice (Roasted),,Grains,International,180,324.4,12.1,64.9,4.1,8.5,18.0,28,706,378,3.9,181,0,128,130.7,3.4,7.96,2.93,64,65.5,true,true,true,45,Breakfast,Turkey
13,Egg (With Vegetables),,Protein,International,80,181.3,21.7,0.9,7.5,10.4,9.3,578,1130,52,1.1,161,279,1141,41.9,2.3,7.53,0.64,421,50.5,false,true,true,34,Breakfast,Mexico
14,Quinoa (Spicy),,Grains,International,300,529.6,17.2,104.8,5.5,2.5,4.8,76,550,470,2.2,108,0,52,1.6,7.9,4.38,0.43,272,74.8,true,true,true,57,Lunch,Mexico
15,Chicken Thigh (Boiled),,Protein,International,100,220.8,26.3,0.9,8.6,4.3,3.1,460,898,118,5.2,240,222,800,84.1,4.7,7.87,4.03,63,41.5,false,false,true,36,Breakfast,Turkey
16,Labneh (Baked),,Dairy,International,120,146.2,8.2,7.2,6.7,2.6,18.7,216,1091,429,8.9,29,303,1360,48.7,1.0,5.35,7.68,204,51.4,false,true,true,20,Lunch,Turkey
17,Renga (Spicy),,Egyptian,Egyptian,75,156.6,6.6,15.1,6.6,2.4,8.1,115,360,63,4.7,28,68,1368,6.2,5.3,6.5,1.73,264,37.6,false,false,true,63,Lunch,Egypt
18,Apple (Premium),,Fruit,International,100,56.9,1.0,16.3,0.4,0.7,1.3,511,639,125,1.3,207,0,1,117.7,7.3,6.14,6.89,576,39.7,true,true,true,67,Dinner,Turkey
19,Walnuts (Grilled),,Nuts,International,150,1001.7,30.9,25.8,79.3,0.0,7.0,5,652,45,3.8,52,312,666,66.7,1.3,4.77,5.99,223,49.9,true,true,true,44,Lunch,Japan
20,Peanuts (Low Fat),,Nuts,International,150,975.1,28.0,30.2,85.9,2.0,0.5,63,380,404,2.0,52,51,279,150.0,7.3,2.16,7.15,95,47.1,true,true,true,36,Dinner,France
21,Milk (Baked),,Dairy,International,250,278.4,21.8,16.6,15.7,1.5,18.3,587,681,230,9.6,6,47,231,92.9,11.2,3.53,3.17,387,90.7,false,true,true,69,Breakfast,Italy
22,Greek Yogurt (Homemade),,Dairy,International,90,121.5,7.9,4.8,6.0,2.1,5.3,344,848,428,3.1,228,12,249,118.7,4.7,4.55,5.14,576,73.6,false,true,true,90,Dinner,France
23,Mango (Grilled),,Fruit,International,100,56.1,1.1,14.7,0.4,5.1,17.3,315,398,346,0.6,61,0,128,67.3,11.6,3.21,5.77,464,73.3,true,true,true,47,Breakfast,France
24,Milk (Cooked),,Dairy,International,200,270.7,17.0,10.9,10.3,10.3,10.5,103,893,413,7.3,125,315,787,50.1,2.2,5.26,7.8,693,71.0,false,true,true,47,Lunch,USA
25,Hazelnuts (Fresh),,Nuts,International,80,520.6,16.8,13.5,40.1,8.5,5.7,376,1142,275,8.5,242,281,187,148.7,11.1,7.12,4.87,167,59.0,true,true,true,32,Snack,India
